epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.557,1.75811,1.90831,1.69171,0.38739,0.27799,0.25776,0.11052,nan,nan,nan,0.000664917,0.000664917,0.000664917
2,642.95,1.97143,2.12184,1.89824,0.46429,0.33639,0.32662,0.14985,2.25155,2.5745,2.33782,0.0013184,0.0013184,0.0013184
3,952.106,1.85298,1.97286,1.81394,0.39077,0.33108,0.28131,0.12919,2.13016,2.73438,2.23516,0.00195868,0.00195868,0.00195868
4,1256.61,1.73195,1.80736,1.7428,0.63557,0.51786,0.55401,0.29519,1.7878,1.84043,1.89062,0.0019406,0.0019406,0.0019406
5,1561.48,1.63147,1.63704,1.65672,0.70962,0.54875,0.60215,0.34101,1.67411,1.68482,1.81499,0.0019208,0.0019208,0.0019208
6,1865.71,1.55306,1.50366,1.59162,0.72747,0.59604,0.65395,0.37776,1.68701,1.63706,1.80093,0.001901,0.001901,0.001901
7,2173.73,1.49465,1.42458,1.55409,0.79932,0.64206,0.72446,0.44835,1.51297,1.49323,1.6688,0.0018812,0.0018812,0.0018812
8,2477.97,1.44845,1.36009,1.51887,0.805,0.69336,0.76116,0.47929,1.46015,1.32232,1.64478,0.0018614,0.0018614,0.0018614
9,2783.81,1.41422,1.30067,1.49547,0.78581,0.64768,0.73888,0.44326,1.48496,1.41561,1.62055,0.0018416,0.0018416,0.0018416
10,3087.93,1.38512,1.25084,1.46737,0.78177,0.68291,0.75748,0.4865,1.44885,1.41906,1.59857,0.0018218,0.0018218,0.0018218
11,3398.47,1.37282,1.24371,1.46137,0.82529,0.72346,0.79605,0.51082,1.41632,1.24583,1.62293,0.001802,0.001802,0.001802
12,3703.99,1.30662,1.15595,1.41961,0.82326,0.70814,0.78715,0.5201,1.36705,1.31952,1.56658,0.0017822,0.0017822,0.0017822
13,4012.79,1.28623,1.1292,1.40372,0.85671,0.72425,0.81542,0.53022,1.3626,1.25537,1.54287,0.0017624,0.0017624,0.0017624
14,4317.84,1.25584,1.09274,1.38207,0.83756,0.76145,0.83426,0.54845,1.32882,1.06383,1.50919,0.0017426,0.0017426,0.0017426
15,4626.44,1.2648,1.08387,1.38563,0.84829,0.72539,0.81058,0.53543,1.33065,1.14187,1.51975,0.0017228,0.0017228,0.0017228
16,4930.22,1.25294,1.08576,1.37512,0.86166,0.75,0.83327,0.56178,1.34998,1.07811,1.53046,0.001703,0.001703,0.001703
17,5237.61,1.21776,1.03307,1.3571,0.85341,0.74738,0.83346,0.56693,1.2648,1.11204,1.45807,0.0016832,0.0016832,0.0016832
18,5549.84,1.21195,1.01957,1.35117,0.88843,0.7278,0.83613,0.57224,1.27602,1.09489,1.45657,0.0016634,0.0016634,0.0016634
19,5858.06,1.19889,1.01901,1.34827,0.90793,0.76786,0.87059,0.6029,1.20849,0.99779,1.42977,0.0016436,0.0016436,0.0016436
20,6164.51,1.18024,0.99633,1.33538,0.90011,0.78571,0.87044,0.60632,1.24463,1.02349,1.44578,0.0016238,0.0016238,0.0016238
21,6470.09,1.18559,0.97674,1.33166,0.89212,0.79923,0.87983,0.62331,1.1745,0.91376,1.39022,0.001604,0.001604,0.001604
